"key1","key2","name1","type1","name2","type2","guide","example_d0","example_p12"
1,1,"Ano9-1","negative","Ano9-1","negative","1_1",17,4
2,1,"Ano9-2","negative","Ano9-1","negative","2_1",7,2
3,1,"Bace-1","negative","Ano9-1","negative","3_1",1,0
4,1,"Bace-2","negative","Ano9-1","negative","4_1",17,15
5,1,"Brd1-1","experimental","Ano9-1","negative","5_1",25,1
6,1,"Brd1-2","experimental","Ano9-1","negative","6_1",25,7
7,1,"Brd1-3","experimental","Ano9-1","negative","7_1",16,1
8,1,"Brd2-1","experimental","Ano9-1","negative","8_1",35,2
9,1,"Brd2-2","experimental","Ano9-1","negative","9_1",14,0
10,1,"Brd2-3","experimental","Ano9-1","negative","10_1",29,0
11,1,"Brd4-1","positive","Ano9-1","negative","11_1",17,0
12,1,"Brd4-2","positive","Ano9-1","negative","12_1",15,0
13,1,"Brd4-3","positive","Ano9-1","negative","13_1",0,0
14,1,"Brd8-1","experimental","Ano9-1","negative","14_1",30,0
15,1,"Brd8-2","experimental","Ano9-1","negative","15_1",23,0
16,1,"Brd8-3","experimental","Ano9-1","negative","16_1",35,8
17,1,"Brd9-1","experimental","Ano9-1","negative","17_1",30,8
18,1,"Brd9-2","experimental","Ano9-1","negative","18_1",34,1
19,1,"Brd9-3","experimental","Ano9-1","negative","19_1",18,0
20,1,"Brpf1-1","experimental","Ano9-1","negative","20_1",31,16
21,1,"Brpf1-2","experimental","Ano9-1","negative","21_1",21,2
22,1,"Brpf1-3","experimental","Ano9-1","negative","22_1",18,5
23,1,"Dcc-1","negative","Ano9-1","negative","23_1",33,10
24,1,"Dcc-2","negative","Ano9-1","negative","24_1",44,16
25,1,"Ehmt1-1","experimental","Ano9-1","negative","25_1",30,1
26,1,"Ehmt1-2","experimental","Ano9-1","negative","26_1",8,0
27,1,"Ehmt1-3","experimental","Ano9-1","negative","27_1",14,2
28,1,"Ehmt2-1","experimental","Ano9-1","negative","28_1",25,0
29,1,"Ehmt2-2","experimental","Ano9-1","negative","29_1",11,0
30,1,"Ehmt2-3","experimental","Ano9-1","negative","30_1",16,2
31,1,"Esrrb-1","negative","Ano9-1","negative","31_1",10,7
32,1,"Esrrb-2","negative","Ano9-1","negative","32_1",24,5
33,1,"Fev-1","negative","Ano9-1","negative","33_1",32,8
34,1,"Fev-2","negative","Ano9-1","negative","34_1",33,6
35,1,"Irx1-1","negative","Ano9-1","negative","35_1",11,0
36,1,"Irx1-2","negative","Ano9-1","negative","36_1",10,4
37,1,"Htr2c-1","negative","Ano9-1","negative","37_1",19,16
38,1,"Htr2c-2","negative","Ano9-1","negative","38_1",15,13
39,1,"Jarid2-1","experimental","Ano9-1","negative","39_1",10,14
40,1,"Jarid2-2","experimental","Ano9-1","negative","40_1",16,34
41,1,"Jarid2-3","experimental","Ano9-1","negative","41_1",24,14
42,1,"Jmjd6-1","experimental","Ano9-1","negative","42_1",13,18
43,1,"Jmjd6-2","experimental","Ano9-1","negative","43_1",19,4
44,1,"Jmjd6-3","experimental","Ano9-1","negative","44_1",19,7
45,1,"Kdm2a-1","experimental","Ano9-1","negative","45_1",25,3
46,1,"Kdm2a-2","experimental","Ano9-1","negative","46_1",30,29
47,1,"Kdm2a-3","experimental","Ano9-1","negative","47_1",27,4
48,1,"Kdm4a-1","experimental","Ano9-1","negative","48_1",31,8
49,1,"Kdm4a-2","experimental","Ano9-1","negative","49_1",26,1
