"hit","align.length","mismatch","indel","unalign.length","total.miss"
"15_27",65,0,0,0,0
"82_38",65,0,0,0,0
"29_14",65,0,0,0,0
"48_77",65,0,0,0,0
"17_77",65,1,0,0,1
"40_62",65,1,0,0,1
"20_40",65,0,0,0,0
"12_46",65,0,0,0,0
"74_4",65,0,0,0,0
"48_31",65,0,0,0,0
"65_1",65,0,0,0,0
"5_80",65,2,0,0,2
"67_47",65,0,0,0,0
"21_33",65,2,0,0,2
"48_91",65,0,0,0,0
"33_12",65,0,0,0,0
"77_19",65,0,0,0,0
"47_17",65,0,0,0,0
"48_19",65,0,0,0,0
"41_5",65,0,0,0,0
"52_73",65,2,0,0,2
"77_78",65,0,0,0,0
"81_45",65,1,0,0,1
"39_53",65,0,0,0,0
"66_89",65,0,0,0,0
"46_8",65,1,0,0,1
"10_3",65,2,0,0,2
"15_52",65,1,0,0,1
"40_55",65,1,0,0,1
"4_64",65,0,0,0,0
"79_73",65,0,0,0,0
"27_90",65,0,0,0,0
"32_39",65,1,0,0,1
"75_79",65,0,0,0,0
"69_10",65,0,0,0,0
"31_10",65,2,0,0,2
"25_91",65,1,0,0,1
"52_42",65,0,0,0,0
"90_82",65,0,0,0,0
"28_56",65,0,0,0,0
"78_69",65,0,0,0,0
"34_82",65,1,0,0,1
"29_70",65,2,0,0,2
"85_20",65,0,0,0,0
"46_52",65,0,0,0,0
"26_39",65,1,0,0,1
"59_68",65,0,0,0,0
"50_63",65,0,0,0,0
"66_76",65,0,0,0,0
"69_51",65,0,0,0,0
"28_42",65,2,0,0,2
"90_23",65,1,0,0,1
"90_36",65,0,0,0,0
"44_15",65,2,0,0,2
"37_33",65,0,0,0,0
"59_10",65,0,1,0,1
"33_39",65,0,0,0,0
"65_29",65,0,0,0,0
"20_72",65,1,0,0,1
"11_80",65,0,0,0,0
"63_47",65,0,0,0,0
"55_77",65,0,0,0,0
"76_56",65,0,0,0,0
"72_86",65,1,0,0,1
"21_7",65,0,0,0,0
"45_12",65,1,0,0,1
"12_88",65,0,0,0,0
"90_47",65,0,0,0,0
"77_73",65,1,0,0,1
"49_1",65,0,0,0,0
"1_53",65,0,0,0,0
"67_16",65,0,0,0,0
"56_55",65,0,0,0,0
"69_22",65,0,0,0,0
"33_55",65,0,0,0,0
"68_25",65,1,0,0,1
"34_86",65,1,0,0,1
"84_36",65,2,0,0,2
"84_15",65,1,0,0,1
"74_66",65,0,0,0,0
"54_70",65,1,0,0,1
"75_59",65,1,0,0,1
"82_86",65,1,0,0,1
"56_41",65,1,0,0,1
"62_54",65,0,0,0,0
"65_9",65,0,0,0,0
"83_22",65,0,0,0,0
"7_77",65,1,0,0,1
"12_19",65,0,0,0,0
"30_91",65,0,0,0,0
"67_10",65,1,0,0,1
