"hit","align.length","mismatch","indel","unalign.length","total.miss"
"32_43",65,1,0,0,"1"
"38_58",65,0,0,0,"0"
"40_43",65,4,0,0,"4"
"49_41",65,1,0,0,"1"
"47_43",62,4,0,3,"7"
"86_24",65,0,0,0,"0"
"87_50",65,4,0,0,"4"
"53_79",65,2,0,0,"2"
"40_47",65,0,0,0,"0"
"33_16",65,1,0,0,"1"
"80_79",65,1,0,0,"1"
"88_42",65,0,0,0,"0"
"59_43",65,3,0,0,"3"
"62_38",65,0,0,0,"0"
"79_5",65,0,0,0,"0"
"54_78",64,5,0,1,"6"
"79_66",65,0,0,0,"0"
"59_38",65,1,0,0,"1"
"55_4",65,1,0,0,"1"
"9_9",65,0,0,0,"0"
"55_69",65,1,1,0,"2"
"44_34",65,0,0,0,"0"
"79_21",65,7,0,0,"7"
"48_20",65,2,0,0,"2"
"32_60",65,0,0,0,"0"
"83_39",65,2,0,0,"2"
"44_8",65,0,1,0,"1"
"23_77",65,0,0,0,"0"
"91_91",65,0,0,0,"0"
"59_45",65,1,0,0,"1"
"37_9",65,0,1,0,"1"
"55_40",65,0,0,0,"0"
"40_61",65,2,0,0,"2"
"49_40",65,3,0,0,"3"
"77_6",65,1,0,0,"1"
"53_40",65,1,0,0,"1"
"43_80",65,7,0,0,"7"
"34_65",65,2,0,0,"2"
"65_51",65,4,0,0,"4"
"32_67",65,2,0,0,"2"
"43_63",64,3,0,1,"4"
"37_58",65,1,0,0,"1"
"44_88",65,1,1,0,"2"
"51_21",65,0,0,0,"0"
"21_49",65,0,0,0,"0"
"77_3",65,0,0,0,"0"
"45_16",65,8,0,0,"8"
"57_79",65,0,0,0,"0"
"43_76",65,0,0,0,"0"
"51_65",65,2,0,0,"2"
"1_36",65,1,0,0,"1"
"48_42",65,1,0,0,"1"
"64_43",65,2,0,0,"2"
"79_5",65,11,0,0,">=10"
"6_31",65,0,0,0,"0"
"67_5",65,0,0,0,"0"
"77_46",65,1,0,0,"1"
"32_18",65,1,0,0,"1"
"51_44",65,5,0,0,"5"
