"hit","align.length","mismatch","indel","unalign.length","total.miss"
"32_43",65,1,0,0,1
"38_58",65,0,0,0,0
"49_41",65,1,0,0,1
"86_24",65,0,0,0,0
"53_79",65,2,0,0,2
"40_47",65,0,0,0,0
"33_16",65,1,0,0,1
"80_79",65,1,0,0,1
"88_42",65,0,0,0,0
"62_38",65,0,0,0,0
"79_5",65,0,0,0,0
"79_66",65,0,0,0,0
"59_38",65,1,0,0,1
"55_4",65,1,0,0,1
"9_9",65,0,0,0,0
"55_69",65,1,1,0,2
"44_34",65,0,0,0,0
"48_20",65,2,0,0,2
"32_60",65,0,0,0,0
"83_39",65,2,0,0,2
"44_8",65,0,1,0,1
"23_77",65,0,0,0,0
"91_91",65,0,0,0,0
"59_45",65,1,0,0,1
"37_9",65,0,1,0,1
"55_40",65,0,0,0,0
"40_61",65,2,0,0,2
"77_6",65,1,0,0,1
"53_40",65,1,0,0,1
"34_65",65,2,0,0,2
"32_67",65,2,0,0,2
"37_58",65,1,0,0,1
"44_88",65,1,1,0,2
"51_21",65,0,0,0,0
"21_49",65,0,0,0,0
"77_3",65,0,0,0,0
"57_79",65,0,0,0,0
"43_76",65,0,0,0,0
"51_65",65,2,0,0,2
"1_36",65,1,0,0,1
"48_42",65,1,0,0,1
"64_43",65,2,0,0,2
"6_31",65,0,0,0,0
"67_5",65,0,0,0,0
"77_46",65,1,0,0,1
"32_18",65,1,0,0,1
"88_41",65,0,1,0,1
"51_52",65,0,0,0,0
"38_66",65,0,0,0,0
"33_16",65,0,0,0,0
"39_77",65,2,0,0,2
"37_34",65,0,0,0,0
"77_74",65,1,1,0,2
"52_44",65,0,0,0,0
"69_39",65,0,1,0,1
"61_45",65,1,0,0,1
"40_91",65,2,0,0,2
"46_40",65,0,0,0,0
"24_55",65,0,0,0,0
"42_31",65,0,0,0,0
"43_63",65,1,0,0,1
"34_33",65,0,0,0,0
"78_5",65,0,0,0,0
"1_90",65,0,0,0,0
"62_20",65,2,0,0,2
"42_3",65,0,0,0,0
"46_42",65,0,0,0,0
